question,1.20214E+11,gemini,5883a935c0c9a10001df6345,61687ebcd2a35ffb762d1928,mohana,all_answers,majority,type,correct
"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?",['moderately busy'],['moderately busy'],['quiet / empty'],['quiet / empty'],['quiet / empty'],,['quiet / empty'],background,0
"What type of wheels does the car have (e.g., spoked, alloy)?",['Carbon Fiber (carbon fiber wheels)'],"['Metal (aluminum wheels, steel wheels, alloy wheels)', 'Spoked (spoked wheels)']","['Metal (aluminum wheels, steel wheels, alloy wheels)', 'Spoked (spoked wheels)']",['Spoked (spoked wheels)'],"['Metal (aluminum wheels, steel wheels, alloy wheels)', 'Spoked (spoked wheels)']","['Metal (aluminum wheels, steel wheels, alloy wheels)', 'Spoked (spoked wheels)', 'Carbon Fiber (carbon fiber wheels)', 'None of these']","['Metal (aluminum wheels, steel wheels, alloy wheels)', 'Spoked (spoked wheels)']",object,1
"Does the imagery suggest a rural, suburban, or urban setting?",['urban'],['urban'],['urban'],['urban'],['suburban'],,['urban'],background,1
What type of environment is visible?,"['residential', 'commercial / public']",['commercial / public'],['residential'],['residential'],['commercial / public'],,"['residential', 'commercial / public']",background,1
Are there any decorations or markings on the cooking pot?,['no'],['no'],['no'],['no'],['no'],"['yes', 'no', 'None of the above']",['no'],object,1
"What natural features, if any, are visible in the background of the image?",['only manmade structures'],['only manmade structures'],['None of the above'],['open ground / fields'],['None of the above'],,['None of the above'],background,0
Are there any handles or grips on the cooking pot?,['yes'],['yes'],['yes'],['yes'],['yes'],"['yes', 'no', 'None of the above']",['yes'],object,1
What type of road or terrain is visible?,"['dirt / gravel road (man-made)', 'natural ground / grass (wild, non-constructed)']","['natural ground / grass (wild, non-constructed)']",['dirt / gravel road (man-made)'],"['natural ground / grass (wild, non-constructed)']","['natural ground / grass (wild, non-constructed)']",,['dirt / gravel road (man-made)'],background,0
"Is the cooking pot on a heat source (e.g., stovetop, fire)?",['no'],['no'],['no'],['no'],['no'],"['yes', 'no', 'None of the above']",['no'],object,1
What type of road or terrain is visible?,"['paved road', 'tiled / courtyard-style surface']",['tiled / courtyard-style surface'],['tiled / courtyard-style surface'],['paved road'],['None of the above'],,['tiled / courtyard-style surface'],background,1
Are there any handles or grips on the cooking pot?,['yes'],['yes'],['yes'],['yes'],['no'],"['yes', 'no', 'None of the above']",['yes'],object,1
What type of environment is visible?,['residential'],['residential'],['residential'],['residential'],['residential'],,['residential'],background,1
"What is the shape of the cooking pot (e.g., round, oval, rectangular)?","['round', 'oval']",['round'],['round'],['round'],['round'],"['square', 'oval', 'round', 'rectangular', 'None of the above']",['round'],object,1
"What natural features, if any, are visible in the background of the image?",['open ground / fields'],['open ground / fields'],['mountains / hills'],['open ground / fields'],['open ground / fields'],,['open ground / fields'],background,1
"What material is the cooking pot made of (e.g., metal, ceramic, clay)?","['Clay', 'Ceramic']",['Clay'],['Clay'],['Ceramic'],['Clay'],"['Metal (stainless steel, cast iron, copper, aluminum)', 'Ceramic', 'Clay', 'Glass', 'None of these']","['Clay', 'Ceramic']",object,1
"What is the shape of the cooking pot (e.g., round, oval, rectangular)?","['oval', 'round']",['round'],['round'],['round'],['round'],"['square', 'oval', 'round', 'rectangular', 'None of the above']",['round'],object,1
"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?",['moderately busy'],['moderately busy'],['quiet / empty'],['moderately busy'],['None of the above'],,['moderately busy'],background,1
What main elements are visible in the background?,['walls and windows'],['walls and windows'],['empty / bare walls'],['None of the above'],['empty / bare walls'],,"['walls and windows', 'empty / bare walls']",background,1
Are there any contents inside the cooking pot?,['yes'],['yes'],['yes'],['yes'],['yes'],"['yes', 'no', 'None of the above']",['yes'],object,1
What type of road or terrain is visible?,"['natural ground / grass (wild, non-constructed)']","['natural ground / grass (wild, non-constructed)']",['dirt / gravel road (man-made)'],"['natural ground / grass (wild, non-constructed)']","['natural ground / grass (wild, non-constructed)']",,"['natural ground / grass (wild, non-constructed)']",background,1
Are there any contents inside the cooking pot?,['yes'],['yes'],['no'],['yes'],['None of the above'],"['yes', 'no', 'None of the above']",['yes'],object,1
"What material is the cooking pot made of (e.g., metal, ceramic, clay)?","['Ceramic', 'Metal (stainless steel, cast iron, copper, aluminum)', 'Clay']","['Clay', 'Ceramic']","['Metal (stainless steel, cast iron, copper, aluminum)']","['Metal (stainless steel, cast iron, copper, aluminum)']","['Ceramic', 'Clay']","['Metal (stainless steel, cast iron, copper, aluminum)', 'Ceramic', 'Clay', 'Glass', 'None of these']","['Metal (stainless steel, cast iron, copper, aluminum)']",object,0
"Does the imagery suggest a rural, suburban, or urban setting?","['suburban', 'rural']",['rural'],['rural'],['rural'],['None of the above'],,['rural'],background,1
What type of environment is visible?,['commercial / public'],['residential'],['residential'],['residential'],"['residential', 'commercial / public']",,['residential'],background,1
Does the food appear to be homemade or from a restaurant/prepared meal?,['restaurant/prepared meal'],['homemade'],['homemade'],['homemade'],"['homemade', 'restaurant/prepared meal']","['homemade', 'restaurant/prepared meal', 'None of the above']",['homemade'],object,1
How visually organized does the indoor space appear?,['organized'],['None of the above'],['organized'],['None of the above'],['minimal'],,['organized'],background,0
"Is the plate mostly full, about half full, or mostly empty?",['mostly full'],['mostly full'],['mostly full'],['mostly full'],['mostly full'],"['mostly full', 'about half full', 'mostly empty', 'None of the above']",['mostly full'],object,1
What type of environment is visible?,['commercial / public'],['commercial / public'],['solid / empty background'],['residential'],['None of the above'],,['commercial / public'],background,1
"Is the plate mostly full, about half full, or mostly empty?",['mostly full'],['mostly full'],['mostly full'],['mostly full'],['mostly full'],"['mostly full', 'about half full', 'mostly empty', 'None of the above']",['mostly full'],object,1
What type of environment is visible?,['commercial / public'],['commercial / public'],['commercial / public'],['residential'],['None of the above'],,['commercial / public'],background,1
"What type of food is on the plate (e.g., fruit, vegetables, meat, grains, processed food)?","['meat', 'vegetables', 'eggs']","['meat', 'vegetables', 'eggs', 'processed food']","['vegetables', 'meat', 'seafood']","['vegetables', 'grains', 'meat', 'eggs']","['vegetables', 'meat']","['fruit', 'vegetables', 'meat', 'grains', 'processed food', 'dairy', 'baked goods', 'confectionery', 'seafood', 'nuts', 'eggs', 'None of the above']","['meat', 'vegetables', 'eggs']",object,1
What type of floor or ground is visible?,['wooden floor'],['wooden floor'],['None of the above'],['None of the above'],['None of the above'],,['None of the above'],background,0
"What type of food is on the plate (e.g., fruit, vegetables, meat, grains, processed food)?","['meat', 'vegetables']","['meat', 'vegetables', 'processed food', 'eggs', 'dairy']","['vegetables', 'meat', 'baked goods']","['vegetables', 'meat', 'grains', 'processed food']","['vegetables', 'meat', 'eggs']","['fruit', 'vegetables', 'meat', 'grains', 'processed food', 'dairy', 'baked goods', 'confectionery', 'seafood', 'nuts', 'eggs', 'None of the above']","['meat', 'vegetables']",object,1
"What kind of plate is the food served on (e.g., fine china, plastic, paper)?","['Disposable (paper plate, plastic plate)']",['Ceramic Plate'],['Ceramic Plate'],['Ceramic Plate'],['Ceramic Plate'],"['Disposable (paper plate, plastic plate)', 'Ceramic Plate', 'Metal Plate', 'Wooden Plate', 'Glass Plate', 'None of these']",['Ceramic Plate'],object,1
How visually organized does the indoor space appear?,['minimal'],['None of the above'],['organized'],['None of the above'],['minimal'],,['None of the above'],background,1
What type of floor or ground is visible?,['wooden floor'],['wooden floor'],['wooden floor'],['wooden floor'],['None of the above'],,['wooden floor'],background,1
"What kind of utensils are visible (e.g., plastic forks, metal silverware)?",['chopsticks'],['chopsticks'],['chopsticks'],['chopsticks'],['chopsticks'],"['chopsticks', 'forks', 'knives', 'spoons', 'None of the above']",['chopsticks'],object,1
"What kind of utensils are visible (e.g., plastic forks, metal silverware)?","['spoons', 'forks']",['forks'],['forks'],['spoons'],"['forks', 'spoons']","['chopsticks', 'forks', 'knives', 'spoons', 'None of the above']",['forks'],object,1
What main elements are visible in the background?,['furniture'],['furniture'],['None of the above'],['furniture'],['furniture'],,['furniture'],background,1
What type of environment is visible?,['commercial / public'],['commercial / public'],['commercial / public'],['residential'],"['residential', 'commercial / public']",,['commercial / public'],background,1
Does the food appear to be homemade or from a restaurant/prepared meal?,['restaurant/prepared meal'],['restaurant/prepared meal'],['restaurant/prepared meal'],['restaurant/prepared meal'],"['homemade', 'restaurant/prepared meal']","['homemade', 'restaurant/prepared meal', 'None of the above']",['restaurant/prepared meal'],object,1
What main elements are visible in the background?,['furniture'],['furniture'],['None of the above'],['furniture'],['furniture'],,['furniture'],background,1
Does the food appear to be homemade or from a restaurant/prepared meal?,['restaurant/prepared meal'],['homemade'],['restaurant/prepared meal'],['homemade'],['homemade'],"['homemade', 'restaurant/prepared meal', 'None of the above']",['restaurant/prepared meal'],object,0
What type of road or terrain is visible?,"['natural ground / grass (wild, non-constructed)']",['dirt / gravel road (man-made)'],['dirt / gravel road (man-made)'],"['natural ground / grass (wild, non-constructed)']",['dirt / gravel road (man-made)'],,"['natural ground / grass (wild, non-constructed)']",background,0
What is the dog's coat color?,['black'],['black'],"['black', 'brown', 'white']",['black'],['black'],"['gray', 'black', 'brown', 'blue', 'sable', 'red', 'cream', 'golden', 'white', 'None of the above']",['black'],object,1
What type of road or terrain is visible?,"['tiled / courtyard-style surface', 'paved road']","['paved road', 'natural ground / grass (wild, non-constructed)']",['paved road'],['paved road'],['tiled / courtyard-style surface'],,['paved road'],background,1
Is the dog wearing a collar or harness?,['yes'],['yes'],['yes'],['yes'],['yes'],"['yes', 'no', 'None of the above']",['yes'],object,1
What is the dog's coat pattern?,['bicolor'],['bicolor'],['bicolor'],['bicolor'],['bicolor'],"['bicolor', 'spotted', 'harlequin', 'tricolor', 'merle', 'sable', 'roan', 'ticked', 'dappled', 'solid', 'brindle', 'None of the above']",['bicolor'],object,1
"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?",['quiet / empty'],['quiet / empty'],['quiet / empty'],['quiet / empty'],['quiet / empty'],,['quiet / empty'],background,1
"What natural features, if any, are visible in the background of the image?",['only manmade structures'],['only manmade structures'],['only manmade structures'],['only manmade structures'],['only manmade structures'],,['only manmade structures'],background,1
What is the dog's coat color?,"['white', 'golden', 'cream']","['cream', 'white']","['brown', 'white']","['brown', 'white']",['white'],"['gray', 'black', 'brown', 'blue', 'sable', 'red', 'cream', 'golden', 'white', 'None of the above']",['white'],object,1
"What is the dog's posture (standing, sitting, lying down)?",['sitting'],['sitting'],['sitting'],['sitting'],['sitting'],"['standing', 'sitting', 'lying down', 'None of the above']",['sitting'],object,1
"Does the imagery suggest a rural, suburban, or urban setting?","['rural', 'suburban']",['urban'],['suburban'],['rural'],['suburban'],,"['rural', 'suburban']",background,0
"What natural features, if any, are visible in the background of the image?",['only manmade structures'],['only manmade structures'],['only manmade structures'],['only manmade structures'],['only manmade structures'],,['only manmade structures'],background,1
"What is the dog's posture (standing, sitting, lying down)?",['sitting'],['sitting'],['sitting'],['sitting'],['sitting'],"['standing', 'sitting', 'lying down', 'None of the above']",['sitting'],object,1
What type of road or terrain is visible?,['None of the above'],"['natural ground / grass (wild, non-constructed)']","['natural ground / grass (wild, non-constructed)']",['None of the above'],"['natural ground / grass (wild, non-constructed)']",,['None of the above'],background,0
What is the dog's coat pattern?,"['bicolor', 'tricolor']",['bicolor'],['bicolor'],['bicolor'],['bicolor'],"['bicolor', 'spotted', 'harlequin', 'tricolor', 'merle', 'sable', 'roan', 'ticked', 'dappled', 'solid', 'brindle', 'None of the above']",['bicolor'],object,1
Is the dog wearing a collar or harness?,['yes'],['yes'],['yes'],['yes'],['yes'],"['yes', 'no', 'None of the above']",['yes'],object,1
"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?",['quiet / empty'],['quiet / empty'],['quiet / empty'],['quiet / empty'],['quiet / empty'],,['quiet / empty'],background,1
"What is the dog's apparent age - puppy, adult, or senior?","['adult', 'senior']",['adult'],['adult'],['adult'],['adult'],"['puppy', 'adult', 'senior', 'None of the above']",['adult'],object,1
"Does the imagery suggest a rural, suburban, or urban setting?","['suburban', 'urban']",['urban'],['urban'],['urban'],['suburban'],,['urban'],background,1
"What is the dog's apparent age - puppy, adult, or senior?",['adult'],['adult'],['adult'],['adult'],['adult'],"['puppy', 'adult', 'senior', 'None of the above']",['adult'],object,1
"What natural features, if any, are visible in the background of the image?",['open ground / fields'],['open ground / fields'],['open ground / fields'],['open ground / fields'],['open ground / fields'],,['open ground / fields'],background,1
How many legs does the chair appear to have?,"['2', '4']",['4'],['4'],['2'],['2'],"['0', '1', '2', '3', '4', '5', 'more than 5', 'None of the above']","['2', '4']",object,1
"Does the imagery suggest a rural, suburban, or urban setting?",['rural'],['rural'],['rural'],['rural'],['rural'],,['rural'],background,1
Does the chair have arms?,['no'],['yes'],['yes'],['yes'],['yes'],"['yes', 'no', 'None of the above']",['yes'],object,1
What type of environment is visible?,['residential'],['residential'],['solid / empty background'],['None of the above'],['solid / empty background'],,['residential'],background,1
"What is the style of the chair (e.g., modern, antique, traditional, office)?",['traditional'],"['modern', 'accent', 'lounge']",['modern'],"['antique', 'accent']",['modern'],"['office', 'antique', 'traditional', 'lounge', 'modern', 'accent', 'None of the above']",['modern'],object,1
"What natural features, if any, are visible in the background of the image?",['only manmade structures'],['only manmade structures'],['only manmade structures'],['only manmade structures'],['None of the above'],,['only manmade structures'],background,1
Does the chair have arms?,['yes'],['yes'],['yes'],['yes'],['yes'],"['yes', 'no', 'None of the above']",['yes'],object,1
What type of environment is visible?,['commercial / public'],['commercial / public'],['commercial / public'],['residential'],['commercial / public'],,['commercial / public'],background,1
"What material is the upholstery made from (e.g., fabric, leather, vinyl)?",['leather'],['fabric'],['fabric'],['fabric'],['fabric'],"['fabric', 'vinyl', 'leather', 'None of the above']",['fabric'],object,1
What type of environment is visible?,['residential'],['residential'],['residential'],['residential'],['residential'],,['residential'],background,1
What type of road or terrain is visible?,"['natural ground / grass (wild, non-constructed)']","['dirt / gravel road (man-made)', 'natural ground / grass (wild, non-constructed)']","['natural ground / grass (wild, non-constructed)']","['natural ground / grass (wild, non-constructed)']",['dirt / gravel road (man-made)'],,"['natural ground / grass (wild, non-constructed)']",background,1
"What function does the chair appear to be designed for (e.g., dining, office work, lounging)?","['reclining', 'rocking']",['lounging'],['lounging'],['lounging'],['None of the above'],"['office work', 'reclining', 'rocking', 'gaming', 'dining', 'waiting room seating', 'lounging', 'None of the above']",['lounging'],object,1
Does the chair have a back?,['yes'],['yes'],['yes'],['yes'],['yes'],"['yes', 'no', 'None of the above']",['yes'],object,1
"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?",['quiet / empty'],['quiet / empty'],['quiet / empty'],['quiet / empty'],['quiet / empty'],,['quiet / empty'],background,1
What type of road or terrain is visible?,"['natural ground / grass (wild, non-constructed)', 'dirt / gravel road (man-made)']","['natural ground / grass (wild, non-constructed)']","['natural ground / grass (wild, non-constructed)']","['natural ground / grass (wild, non-constructed)']",['dirt / gravel road (man-made)'],,"['natural ground / grass (wild, non-constructed)']",background,1
"What is the style of the chair (e.g., modern, antique, traditional, office)?","['modern', 'antique', 'office', 'lounge']",['traditional'],['modern'],['antique'],['traditional'],"['office', 'antique', 'traditional', 'lounge', 'modern', 'accent', 'None of the above']","['modern', 'antique']",object,0
"What material is the upholstery made from (e.g., fabric, leather, vinyl)?","['vinyl', 'leather']",['vinyl'],['vinyl'],['leather'],['None of the above'],"['fabric', 'vinyl', 'leather', 'None of the above']","['vinyl', 'leather']",object,1
"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?",['quiet / empty'],['quiet / empty'],['quiet / empty'],['quiet / empty'],['quiet / empty'],,['quiet / empty'],background,1
What type of road or terrain is visible?,"['natural ground / grass (wild, non-constructed)']",['tiled / courtyard-style surface'],['paved road'],"['natural ground / grass (wild, non-constructed)']",['dirt / gravel road (man-made)'],,"['natural ground / grass (wild, non-constructed)']",background,0
Does the chair have arms?,['no'],['no'],['no'],['no'],['no'],"['yes', 'no', 'None of the above']",['no'],object,1
Is there a backsplash or hood visible above the stove?,['no'],['no'],['no'],['no'],['no'],"['yes', 'no', 'None of the above']",['no'],object,1
What type of road or terrain is visible?,"['natural ground / grass (wild, non-constructed)']","['natural ground / grass (wild, non-constructed)']",['dirt / gravel road (man-made)'],['dirt / gravel road (man-made)'],['dirt / gravel road (man-made)'],,['dirt / gravel road (man-made)'],background,0
"What type of stove is depicted (e.g., gas, electric, wood-burning)?",['Gas (gas stove)'],['Wood-burning (wood-burning stove)'],['Wood-burning (wood-burning stove)'],['Wood-burning (wood-burning stove)'],['Wood-burning (wood-burning stove)'],"['Electric (electric stove, induction stove)', 'Gas (gas stove)', 'Wood-burning (wood-burning stove)', 'None of these']",['Wood-burning (wood-burning stove)'],object,1
"Does the imagery suggest a rural, suburban, or urban setting?",['rural'],['rural'],['suburban'],['rural'],['rural'],,['rural'],background,1
Is there a built-in oven beneath the stovetop?,['yes'],['yes'],['yes'],['yes'],['yes'],"['yes', 'no', 'None of the above']",['yes'],object,1
How visually organized does the indoor space appear?,['organized'],"['organized', 'minimal']",['organized'],['minimal'],"['organized', 'minimal']",,['organized'],background,1
What type of road or terrain is visible?,['dirt / gravel road (man-made)'],['dirt / gravel road (man-made)'],"['natural ground / grass (wild, non-constructed)']","['natural ground / grass (wild, non-constructed)']",['dirt / gravel road (man-made)'],,"['natural ground / grass (wild, non-constructed)']",background,0
"Are there any pots, pans, or utensils on the stove?",['yes'],['yes'],['yes'],['yes'],['no'],"['yes', 'no', 'None of the above']",['yes'],object,1
"What type of stove is depicted (e.g., gas, electric, wood-burning)?",['Gas (gas stove)'],['Wood-burning (wood-burning stove)'],['Wood-burning (wood-burning stove)'],['Wood-burning (wood-burning stove)'],['Gas (gas stove)'],"['Electric (electric stove, induction stove)', 'Gas (gas stove)', 'Wood-burning (wood-burning stove)', 'None of these']",['Wood-burning (wood-burning stove)'],object,1
"Does the imagery suggest a rural, suburban, or urban setting?",['rural'],['rural'],['rural'],['rural'],['rural'],,['rural'],background,1
"Are there any pots, pans, or utensils on the stove?",['yes'],['yes'],['yes'],['yes'],['yes'],"['yes', 'no', 'None of the above']",['yes'],object,1
What main elements are visible in the background?,"['walls and windows', 'empty / bare walls']",['walls and windows'],['empty / bare walls'],['walls and windows'],['empty / bare walls'],,['walls and windows'],background,1
What type of environment is visible?,['residential'],['residential'],['residential'],['residential'],['residential'],,['residential'],background,1
"What is the material of the stovetop (e.g., stainless steel, ceramic, cast iron)?","['Ceramic', 'Metal (stainless steel, enameled steel, cast iron, copper)']","['Metal (stainless steel, enameled steel, cast iron, copper)']","['Metal (stainless steel, enameled steel, cast iron, copper)']","['Metal (stainless steel, enameled steel, cast iron, copper)']","['Metal (stainless steel, enameled steel, cast iron, copper)']","['Metal (stainless steel, enameled steel, cast iron, copper)', 'Glass', 'Ceramic', 'None of these']","['Metal (stainless steel, enameled steel, cast iron, copper)']",object,1
What type of environment is visible?,['industrial'],['residential'],['residential'],['residential'],['residential'],,['residential'],background,1
"What type of stove is depicted (e.g., gas, electric, wood-burning)?","['Electric (electric stove, induction stove)', 'Gas (gas stove)']",['Gas (gas stove)'],['Gas (gas stove)'],['Gas (gas stove)'],['Gas (gas stove)'],"['Electric (electric stove, induction stove)', 'Gas (gas stove)', 'Wood-burning (wood-burning stove)', 'None of these']",['Gas (gas stove)'],object,1
"What natural features, if any, are visible in the background of the image?",['open ground / fields'],['open ground / fields'],['open ground / fields'],['open ground / fields'],['open ground / fields'],,['open ground / fields'],background,1
"What type of stove is depicted (e.g., gas, electric, wood-burning)?","['Gas (gas stove)', 'Wood-burning (wood-burning stove)']",['Wood-burning (wood-burning stove)'],['Wood-burning (wood-burning stove)'],['Wood-burning (wood-burning stove)'],['Wood-burning (wood-burning stove)'],"['Electric (electric stove, induction stove)', 'Gas (gas stove)', 'Wood-burning (wood-burning stove)', 'None of these']",['Wood-burning (wood-burning stove)'],object,1
What main elements are visible in the background?,"['empty / bare walls', 'walls and windows']",['walls and windows'],"['appliances', 'furniture']",['None of the above'],['None of the above'],,['walls and windows'],background,1
How many burners or cooking elements are visible on the stove?,['4'],['5'],['2'],['2'],['2'],"['0', '1', '2', '3', '4', '5', '6', 'None of the above']",['2'],object,0
