question,120214022411,image,gemini,5883a935c0c9a10001df6345,61687ebcd2a35ffb762d1928,mohana,all_answers
Are there any people visible in the car?,['yes'],imgs/48.png,['yes'],['yes'],['yes'],['yes'],"['yes', 'no', 'None of the above']"
"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?",['moderately busy'],imgs/48.png,['moderately busy'],['quiet / empty'],['quiet / empty'],['quiet / empty'],
"What type of wheels does the car have (e.g., spoked, alloy)?",['Carbon Fiber (carbon fiber wheels)'],imgs/49.png,"['alloy wheels', 'spoked wheels']","['Metal (aluminum wheels, steel wheels, alloy wheels)']",['Spoked (spoked wheels)'],"['Metal (aluminum wheels, steel wheels, alloy wheels)', 'Spoked (spoked wheels)']","['Metal (aluminum wheels, steel wheels, alloy wheels)', 'Spoked (spoked wheels)', 'Carbon Fiber (carbon fiber wheels)', 'None of these']"
"Does the imagery suggest a rural, suburban, or urban setting?",['urban'],imgs/49.png,['urban'],['urban'],['urban'],['suburban'],
What type of environment is visible?,"['residential', 'commercial / public']",imgs/50.png,['commercial / public'],['residential'],['residential'],['commercial / public'],
Are there any decorations or markings on the cooking pot?,['no'],imgs/50.png,['no'],['no'],['no'],['no'],"['yes', 'no', 'None of the above']"
"What natural features, if any, are visible in the background of the image?",['only manmade structures'],imgs/51.png,['only manmade structures'],['None of the above'],['open ground / fields'],['None of the above'],
Are there any handles or grips on the cooking pot?,['yes'],imgs/51.png,['yes'],['yes'],['yes'],['yes'],"['yes', 'no', 'None of the above']"
What type of road or terrain is visible?,"['dirt / gravel road (man-made)', 'natural ground / grass (wild, non-constructed)']",imgs/52.png,"['natural ground / grass (wild, non-constructed)']",['dirt / gravel road (man-made)'],"['natural ground / grass (wild, non-constructed)']","['natural ground / grass (wild, non-constructed)']",
"Is the cooking pot on a heat source (e.g., stovetop, fire)?",['no'],imgs/52.png,['no'],['no'],['no'],['no'],"['yes', 'no', 'None of the above']"
What type of road or terrain is visible?,"['paved road', 'tiled / courtyard-style surface']",imgs/53.png,['tiled / courtyard-style surface'],['tiled / courtyard-style surface'],['paved road'],['None of the above'],
Are there any handles or grips on the cooking pot?,['yes'],imgs/53.png,['yes'],['yes'],['yes'],['no'],"['yes', 'no', 'None of the above']"
What type of environment is visible?,['residential'],imgs/54.png,['residential'],['residential'],['residential'],['residential'],
"What is the shape of the cooking pot (e.g., round, oval, rectangular)?","['round', 'oval']",imgs/54.png,['round'],['round'],['round'],['round'],"['square', 'oval', 'round', 'rectangular', 'None of the above']"
"What natural features, if any, are visible in the background of the image?",['open ground / fields'],imgs/55.png,['open ground / fields'],['mountains / hills'],['open ground / fields'],['open ground / fields'],
"What material is the cooking pot made of (e.g., metal, ceramic, clay)?","['Clay', 'Ceramic']",imgs/55.png,['clay'],['Clay'],['Ceramic'],['Clay'],"['Metal (stainless steel, cast iron, copper, aluminum)', 'Ceramic', 'Clay', 'Glass', 'None of these']"
"What is the shape of the cooking pot (e.g., round, oval, rectangular)?","['oval', 'round']",imgs/56.png,['round'],['round'],['round'],['round'],"['square', 'oval', 'round', 'rectangular', 'None of the above']"
"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?",['moderately busy'],imgs/56.png,['moderately busy'],['quiet / empty'],['moderately busy'],['None of the above'],
What main elements are visible in the background?,['walls and windows'],imgs/57.png,['walls and windows'],['empty / bare walls'],['None of the above'],['empty / bare walls'],
Are there any contents inside the cooking pot?,['yes'],imgs/57.png,['yes'],['yes'],['yes'],['yes'],"['yes', 'no', 'None of the above']"
What type of road or terrain is visible?,"['natural ground / grass (wild, non-constructed)']",imgs/58.png,"['natural ground / grass (wild, non-constructed)']",['dirt / gravel road (man-made)'],"['natural ground / grass (wild, non-constructed)']","['natural ground / grass (wild, non-constructed)']",
Are there any contents inside the cooking pot?,['yes'],imgs/58.png,['yes'],['no'],['yes'],['None of the above'],"['yes', 'no', 'None of the above']"
"What material is the cooking pot made of (e.g., metal, ceramic, clay)?","['Ceramic', 'Metal (stainless steel, cast iron, copper, aluminum)', 'Clay']",imgs/59.png,"['clay', 'ceramic']","['Metal (stainless steel, cast iron, copper, aluminum)']","['Metal (stainless steel, cast iron, copper, aluminum)']","['Ceramic', 'Clay']","['Metal (stainless steel, cast iron, copper, aluminum)', 'Ceramic', 'Clay', 'Glass', 'None of these']"
"Does the imagery suggest a rural, suburban, or urban setting?","['suburban', 'rural']",imgs/59.png,['rural'],['rural'],['rural'],['None of the above'],
What type of environment is visible?,['commercial / public'],imgs/60.png,['residential'],['residential'],['residential'],"['residential', 'commercial / public']",
Does the food appear to be homemade or from a restaurant/prepared meal?,['restaurant/prepared meal'],imgs/60.png,['homemade'],['homemade'],['homemade'],"['homemade', 'restaurant/prepared meal']","['homemade', 'restaurant/prepared meal', 'None of the above']"
How visually organized does the indoor space appear?,['organized'],imgs/61.png,['None of the above'],['organized'],['None of the above'],['minimal'],
"Is the plate mostly full, about half full, or mostly empty?",['mostly full'],imgs/61.png,['mostly full'],['mostly full'],['mostly full'],['mostly full'],"['mostly full', 'about half full', 'mostly empty', 'None of the above']"
What type of environment is visible?,['commercial / public'],imgs/62.png,['commercial / public'],['solid / empty background'],['residential'],['None of the above'],
"Is the plate mostly full, about half full, or mostly empty?",['mostly full'],imgs/62.png,['mostly full'],['mostly full'],['mostly full'],['mostly full'],"['mostly full', 'about half full', 'mostly empty', 'None of the above']"
What type of environment is visible?,['commercial / public'],imgs/63.png,['commercial / public'],['commercial / public'],['residential'],['None of the above'],
"What type of food is on the plate (e.g., fruit, vegetables, meat, grains, processed food)?","['meat', 'vegetables', 'eggs']",imgs/63.png,"['meat', 'vegetables', 'eggs', 'processed food']","['vegetables', 'meat', 'seafood']","['vegetables', 'grains', 'meat', 'eggs']","['vegetables', 'meat']","['fruit', 'vegetables', 'meat', 'grains', 'processed food', 'dairy', 'baked goods', 'confectionery', 'seafood', 'nuts', 'eggs', 'None of the above']"
What type of floor or ground is visible?,['wooden floor'],imgs/64.png,['wooden floor'],['None of the above'],['None of the above'],['None of the above'],
"What type of food is on the plate (e.g., fruit, vegetables, meat, grains, processed food)?","['meat', 'vegetables']",imgs/64.png,"['meat', 'vegetables', 'processed food', 'eggs', 'dairy']","['vegetables', 'meat', 'baked goods']","['vegetables', 'meat', 'grains', 'processed food']","['vegetables', 'meat', 'eggs']","['fruit', 'vegetables', 'meat', 'grains', 'processed food', 'dairy', 'baked goods', 'confectionery', 'seafood', 'nuts', 'eggs', 'None of the above']"
"What kind of plate is the food served on (e.g., fine china, plastic, paper)?","['Disposable (paper plate, plastic plate)']",imgs/65.png,['ceramic plate'],['Ceramic Plate'],['Ceramic Plate'],['Ceramic Plate'],"['Disposable (paper plate, plastic plate)', 'Ceramic Plate', 'Metal Plate', 'Wooden Plate', 'Glass Plate', 'None of these']"
How visually organized does the indoor space appear?,['minimal'],imgs/65.png,['None of the above'],['organized'],['None of the above'],['minimal'],
What type of floor or ground is visible?,['wooden floor'],imgs/66.png,['wooden floor'],['wooden floor'],['wooden floor'],['None of the above'],
"What kind of utensils are visible (e.g., plastic forks, metal silverware)?",['chopsticks'],imgs/66.png,['chopsticks'],['chopsticks'],['chopsticks'],['chopsticks'],"['chopsticks', 'forks', 'knives', 'spoons', 'None of the above']"
"What kind of utensils are visible (e.g., plastic forks, metal silverware)?","['spoons', 'forks']",imgs/67.png,['forks'],['forks'],['spoons'],"['forks', 'spoons']","['chopsticks', 'forks', 'knives', 'spoons', 'None of the above']"
What main elements are visible in the background?,['furniture'],imgs/67.png,['furniture'],['None of the above'],['furniture'],['furniture'],
What type of environment is visible?,['commercial / public'],imgs/68.png,['commercial / public'],['commercial / public'],['residential'],"['residential', 'commercial / public']",
Does the food appear to be homemade or from a restaurant/prepared meal?,['restaurant/prepared meal'],imgs/68.png,['restaurant/prepared meal'],['restaurant/prepared meal'],['restaurant/prepared meal'],"['homemade', 'restaurant/prepared meal']","['homemade', 'restaurant/prepared meal', 'None of the above']"
What main elements are visible in the background?,['furniture'],imgs/69.png,['furniture'],['None of the above'],['furniture'],['furniture'],
Does the food appear to be homemade or from a restaurant/prepared meal?,['restaurant/prepared meal'],imgs/69.png,['homemade'],['restaurant/prepared meal'],['homemade'],['homemade'],"['homemade', 'restaurant/prepared meal', 'None of the above']"
What type of road or terrain is visible?,"['natural ground / grass (wild, non-constructed)']",imgs/70.png,['dirt / gravel road (man-made)'],['dirt / gravel road (man-made)'],"['natural ground / grass (wild, non-constructed)']",['dirt / gravel road (man-made)'],
What is the dog's coat color?,['black'],imgs/70.png,['black'],"['black', 'brown', 'white']",['black'],['black'],"['gray', 'black', 'brown', 'blue', 'sable', 'red', 'cream', 'golden', 'white', 'None of the above']"
What type of road or terrain is visible?,"['tiled / courtyard-style surface', 'paved road']",imgs/71.png,"['paved road', 'natural ground / grass (wild, non-constructed)']",['paved road'],['paved road'],['tiled / courtyard-style surface'],
Is the dog wearing a collar or harness?,['yes'],imgs/71.png,['yes'],['yes'],['yes'],['yes'],"['yes', 'no', 'None of the above']"
What is the dog's coat pattern?,['bicolor'],imgs/72.png,['bicolor'],['bicolor'],['bicolor'],['bicolor'],"['bicolor', 'spotted', 'harlequin', 'tricolor', 'merle', 'sable', 'roan', 'ticked', 'dappled', 'solid', 'brindle', 'None of the above']"
"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?",['quiet / empty'],imgs/72.png,['quiet / empty'],['quiet / empty'],['quiet / empty'],['quiet / empty'],
"What natural features, if any, are visible in the background of the image?",['only manmade structures'],imgs/73.png,['only manmade structures'],['only manmade structures'],['only manmade structures'],['only manmade structures'],
What is the dog's coat color?,"['white', 'golden', 'cream']",imgs/73.png,"['cream', 'white']","['brown', 'white']","['brown', 'white']",['white'],"['gray', 'black', 'brown', 'blue', 'sable', 'red', 'cream', 'golden', 'white', 'None of the above']"
"What is the dog's posture (standing, sitting, lying down)?",['sitting'],imgs/74.png,['sitting'],['sitting'],['sitting'],['sitting'],"['standing', 'sitting', 'lying down', 'None of the above']"
"Does the imagery suggest a rural, suburban, or urban setting?","['rural', 'suburban']",imgs/74.png,['urban'],['suburban'],['rural'],['suburban'],
"What natural features, if any, are visible in the background of the image?",['only manmade structures'],imgs/75.png,['only manmade structures'],['only manmade structures'],['only manmade structures'],['only manmade structures'],
"What is the dog's posture (standing, sitting, lying down)?",['sitting'],imgs/75.png,['sitting'],['sitting'],['sitting'],['sitting'],"['standing', 'sitting', 'lying down', 'None of the above']"
What type of road or terrain is visible?,['None of the above'],imgs/76.png,"['natural ground / grass (wild, non-constructed)']","['natural ground / grass (wild, non-constructed)']",['None of the above'],"['natural ground / grass (wild, non-constructed)']",
What is the dog's coat pattern?,"['bicolor', 'tricolor']",imgs/76.png,['bicolor'],['bicolor'],['bicolor'],['bicolor'],"['bicolor', 'spotted', 'harlequin', 'tricolor', 'merle', 'sable', 'roan', 'ticked', 'dappled', 'solid', 'brindle', 'None of the above']"
Is the dog wearing a collar or harness?,['yes'],imgs/77.png,['yes'],['yes'],['yes'],['yes'],"['yes', 'no', 'None of the above']"
"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?",['quiet / empty'],imgs/77.png,['quiet / empty'],['quiet / empty'],['quiet / empty'],['quiet / empty'],
"What is the dog's apparent age - puppy, adult, or senior?","['adult', 'senior']",imgs/78.png,['adult'],['adult'],['adult'],['adult'],"['puppy', 'adult', 'senior', 'None of the above']"
"Does the imagery suggest a rural, suburban, or urban setting?","['suburban', 'urban']",imgs/78.png,['urban'],['urban'],['urban'],['suburban'],
"What is the dog's apparent age - puppy, adult, or senior?",['adult'],imgs/79.png,['adult'],['adult'],['adult'],['adult'],"['puppy', 'adult', 'senior', 'None of the above']"
"What natural features, if any, are visible in the background of the image?",['open ground / fields'],imgs/79.png,['open ground / fields'],['open ground / fields'],['open ground / fields'],['open ground / fields'],
How many legs does the chair appear to have?,"['2', '4']",imgs/87.png,['4'],['4'],['2'],['2'],"['0', '1', '2', '3', '4', '5', 'more than 5', 'None of the above']"
"Does the imagery suggest a rural, suburban, or urban setting?",['rural'],imgs/87.png,['rural'],['rural'],['rural'],['rural'],
Does the chair have arms?,['no'],imgs/88.png,['yes'],['yes'],['yes'],['yes'],"['yes', 'no', 'None of the above']"
What type of environment is visible?,['residential'],imgs/88.png,['residential'],['solid / empty background'],['None of the above'],['solid / empty background'],
"What is the style of the chair (e.g., modern, antique, traditional, office)?",['traditional'],imgs/89.png,"['modern', 'accent', 'lounge']",['modern'],"['antique', 'accent']",['modern'],"['office', 'antique', 'traditional', 'lounge', 'modern', 'accent', 'None of the above']"
"What natural features, if any, are visible in the background of the image?",['only manmade structures'],imgs/89.png,['only manmade structures'],['only manmade structures'],['only manmade structures'],['None of the above'],
Does the chair have arms?,['yes'],imgs/90.png,['yes'],['yes'],['yes'],['yes'],"['yes', 'no', 'None of the above']"
What type of environment is visible?,['commercial / public'],imgs/90.png,['commercial / public'],['commercial / public'],['residential'],['commercial / public'],
"What material is the upholstery made from (e.g., fabric, leather, vinyl)?",['leather'],imgs/91.png,['fabric'],['fabric'],['fabric'],['fabric'],"['fabric', 'vinyl', 'leather', 'None of the above']"
What type of environment is visible?,['residential'],imgs/91.png,['residential'],['residential'],['residential'],['residential'],
What type of road or terrain is visible?,"['natural ground / grass (wild, non-constructed)']",imgs/92.png,"['dirt / gravel road (man-made)', 'natural ground / grass (wild, non-constructed)']","['natural ground / grass (wild, non-constructed)']","['natural ground / grass (wild, non-constructed)']",['dirt / gravel road (man-made)'],
"What function does the chair appear to be designed for (e.g., dining, office work, lounging)?","['reclining', 'rocking']",imgs/92.png,['lounging'],['lounging'],['lounging'],['None of the above'],"['office work', 'reclining', 'rocking', 'gaming', 'dining', 'waiting room seating', 'lounging', 'None of the above']"
Does the chair have a back?,['yes'],imgs/93.png,['yes'],['yes'],['yes'],['yes'],"['yes', 'no', 'None of the above']"
"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?",['quiet / empty'],imgs/93.png,['quiet / empty'],['quiet / empty'],['quiet / empty'],['quiet / empty'],
What type of road or terrain is visible?,"['natural ground / grass (wild, non-constructed)', 'dirt / gravel road (man-made)']",imgs/94.png,"['natural ground / grass (wild, non-constructed)']","['natural ground / grass (wild, non-constructed)']","['natural ground / grass (wild, non-constructed)']",['dirt / gravel road (man-made)'],
"What is the style of the chair (e.g., modern, antique, traditional, office)?","['modern', 'antique', 'office', 'lounge']",imgs/94.png,['traditional'],['modern'],['antique'],['traditional'],"['office', 'antique', 'traditional', 'lounge', 'modern', 'accent', 'None of the above']"
"What material is the upholstery made from (e.g., fabric, leather, vinyl)?","['vinyl', 'leather']",imgs/95.png,['vinyl'],['vinyl'],['leather'],['None of the above'],"['fabric', 'vinyl', 'leather', 'None of the above']"
"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?",['quiet / empty'],imgs/95.png,['quiet / empty'],['quiet / empty'],['quiet / empty'],['quiet / empty'],
What type of road or terrain is visible?,"['natural ground / grass (wild, non-constructed)']",imgs/96.png,['tiled / courtyard-style surface'],['paved road'],"['natural ground / grass (wild, non-constructed)']",['dirt / gravel road (man-made)'],
Does the chair have arms?,['no'],imgs/96.png,['no'],['no'],['no'],['no'],"['yes', 'no', 'None of the above']"
Is there a backsplash or hood visible above the stove?,['no'],imgs/97.png,['no'],['no'],['no'],['no'],"['yes', 'no', 'None of the above']"
What type of road or terrain is visible?,"['natural ground / grass (wild, non-constructed)']",imgs/97.png,"['natural ground / grass (wild, non-constructed)']",['dirt / gravel road (man-made)'],['dirt / gravel road (man-made)'],['dirt / gravel road (man-made)'],
"What type of stove is depicted (e.g., gas, electric, wood-burning)?",['Gas (gas stove)'],imgs/98.png,['wood-burning stove'],['Wood-burning (wood-burning stove)'],['Wood-burning (wood-burning stove)'],['Wood-burning (wood-burning stove)'],"['Electric (electric stove, induction stove)', 'Gas (gas stove)', 'Wood-burning (wood-burning stove)', 'None of these']"
"Does the imagery suggest a rural, suburban, or urban setting?",['rural'],imgs/98.png,['rural'],['suburban'],['rural'],['rural'],
Is there a built-in oven beneath the stovetop?,['yes'],imgs/99.png,['yes'],['yes'],['yes'],['yes'],"['yes', 'no', 'None of the above']"
How visually organized does the indoor space appear?,['organized'],imgs/99.png,"['organized', 'minimal']",['organized'],['minimal'],"['organized', 'minimal']",
What type of road or terrain is visible?,['dirt / gravel road (man-made)'],imgs/100.png,['dirt / gravel road (man-made)'],"['natural ground / grass (wild, non-constructed)']","['natural ground / grass (wild, non-constructed)']",['dirt / gravel road (man-made)'],
"Are there any pots, pans, or utensils on the stove?",['yes'],imgs/100.png,['yes'],['yes'],['yes'],['no'],"['yes', 'no', 'None of the above']"
"What type of stove is depicted (e.g., gas, electric, wood-burning)?",['Gas (gas stove)'],imgs/101.png,['wood-burning stove'],['Wood-burning (wood-burning stove)'],['Wood-burning (wood-burning stove)'],['Gas (gas stove)'],"['Electric (electric stove, induction stove)', 'Gas (gas stove)', 'Wood-burning (wood-burning stove)', 'None of these']"
"Does the imagery suggest a rural, suburban, or urban setting?",['rural'],imgs/101.png,['rural'],['rural'],['rural'],['rural'],
"Are there any pots, pans, or utensils on the stove?",['yes'],imgs/102.png,['yes'],['yes'],['yes'],['yes'],"['yes', 'no', 'None of the above']"
What main elements are visible in the background?,"['walls and windows', 'empty / bare walls']",imgs/102.png,['walls and windows'],['empty / bare walls'],['walls and windows'],['empty / bare walls'],
What type of environment is visible?,['residential'],imgs/103.png,['residential'],['residential'],['residential'],['residential'],
"What is the material of the stovetop (e.g., stainless steel, ceramic, cast iron)?","['Ceramic', 'Metal (stainless steel, enameled steel, cast iron, copper)']",imgs/103.png,"['enameled steel', 'cast iron']","['Metal (stainless steel, enameled steel, cast iron, copper)']","['Metal (stainless steel, enameled steel, cast iron, copper)']","['Metal (stainless steel, enameled steel, cast iron, copper)']","['Metal (stainless steel, enameled steel, cast iron, copper)', 'Glass', 'Ceramic', 'None of these']"
What type of environment is visible?,['industrial'],imgs/104.png,['residential'],['residential'],['residential'],['residential'],
"What type of stove is depicted (e.g., gas, electric, wood-burning)?","['Electric (electric stove, induction stove)', 'Gas (gas stove)']",imgs/104.png,['gas stove'],['Gas (gas stove)'],['Gas (gas stove)'],['Gas (gas stove)'],"['Electric (electric stove, induction stove)', 'Gas (gas stove)', 'Wood-burning (wood-burning stove)', 'None of these']"
"What natural features, if any, are visible in the background of the image?",['open ground / fields'],imgs/105.png,['open ground / fields'],['open ground / fields'],['open ground / fields'],['open ground / fields'],
"What type of stove is depicted (e.g., gas, electric, wood-burning)?","['Gas (gas stove)', 'Wood-burning (wood-burning stove)']",imgs/105.png,['wood-burning stove'],['Wood-burning (wood-burning stove)'],['Wood-burning (wood-burning stove)'],['Wood-burning (wood-burning stove)'],"['Electric (electric stove, induction stove)', 'Gas (gas stove)', 'Wood-burning (wood-burning stove)', 'None of these']"
What main elements are visible in the background?,"['empty / bare walls', 'walls and windows']",imgs/106.png,['walls and windows'],"['appliances', 'furniture']",['None of the above'],['None of the above'],
How many burners or cooking elements are visible on the stove?,['4'],imgs/106.png,['5'],['2'],['2'],['2'],"['0', '1', '2', '3', '4', '5', '6', 'None of the above']"
