concept,country,org_path,img_path,dataset,ind_question,ind_attribute_values,out_question,out_attribute_values
stove_12,United Kingdom,../image-gen/flux1dev-gcs/stove_12/21_a stove in United Kingdom/15.png,../image-gen/seedimgs/0.png,flux1dev-gcs,How visually organized does the indoor space appear?,"['Organized', 'Cluttered', 'Minimal']","Does the imagery suggest a rural, or urban setting?","['Urban', 'Rural']"
stove_12,Nigeria,../image-gen/flux1dev-gcs/stove_12/22_a stove in Nigeria/213.png,../image-gen/seedimgs/1.png,flux1dev-gcs,What main elements are visible in the background?,"['Walls and windows', 'Furniture', 'Appliances (e.g. fridge, microwave, washing machine)', 'Electronic equipment (e.g. TVs, computers, speakers)', 'Empty / Bare walls']","How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?","['Crowded', 'Moderately busy', 'Quiet / Empty']"
stove_12,Indonesia,../image-gen/SD3m-gcs/stove_12/24_a stove in Indonesia/49.png,../image-gen/seedimgs/2.png,SD3m-gcs,What type of environment is visible?,"['Residential', 'Commercial / Public', 'Solid / Empty Background']","What natural features, if any, are visible in the background of the image?","['trees / forest', 'mountains / hills', 'waterbody', 'open ground / fields']"
stove_12,Colombia,../image-gen/SD3m-gcs/stove_12/25_a stove in Colombia/167.png,../image-gen/seedimgs/3.png,SD3m-gcs,What type of floor or ground is visible?,"['Tiled Floor', 'Wooden Floor', 'Carpeted Floor', 'Concrete Floor']",What type of road or terrain is visible?,"['Paved road', 'Dirt / gravel road (man-made)', 'Natural ground / grass (wild, non-constructed)', 'Tiled / courtyard-style surface']"
stove_12,Japan,../image-gen/SD21-16/stove_12/26_a stove in Japan/165.png,../image-gen/seedimgs/4.png,SD21-16,How visually organized does the indoor space appear?,"['Organized', 'Cluttered', 'Minimal']","Does the imagery suggest a rural, or urban setting?","['Urban', 'Rural']"
stove_12,India,../image-gen/flux1dev-gcs/stove_12/27_a stove in India/175.png,../image-gen/seedimgs/5.png,flux1dev-gcs,What main elements are visible in the background?,"['Walls and windows', 'Furniture', 'Appliances (e.g. fridge, microwave, washing machine)', 'Electronic equipment (e.g. TVs, computers, speakers)', 'Empty / Bare walls']","How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?","['Crowded', 'Moderately busy', 'Quiet / Empty']"
stove_12,China,../image-gen/SD35-gcs/stove_12/104_a stove in China/110.png,../image-gen/seedimgs/6.png,SD35-gcs,What type of environment is visible?,"['Residential', 'Commercial / Public', 'Solid / Empty Background']","What natural features, if any, are visible in the background of the image?","['trees / forest', 'mountains / hills', 'waterbody', 'open ground / fields']"
stove_12,United States of America,../image-gen/flux1dev-gcs/stove_12/105_a stove in United States of America/3.png,../image-gen/seedimgs/7.png,flux1dev-gcs,What type of floor or ground is visible?,"['Tiled Floor', 'Wooden Floor', 'Carpeted Floor', 'Concrete Floor']",What type of road or terrain is visible?,"['Paved road', 'Dirt / gravel road (man-made)', 'Natural ground / grass (wild, non-constructed)', 'Tiled / courtyard-style surface']"
stove_12,Mexico,../image-gen/flux1dev-gcs/stove_12/101_a stove in Mexico/241.png,../image-gen/seedimgs/8.png,flux1dev-gcs,How visually organized does the indoor space appear?,"['Organized', 'Cluttered', 'Minimal']","Does the imagery suggest a rural, or urban setting?","['Urban', 'Rural']"
stove_12,United Arab Emirates,../image-gen/SD35-gcs/stove_12/102_a stove in United Arab Emirates/126.png,../image-gen/seedimgs/9.png,SD35-gcs,What main elements are visible in the background?,"['Walls and windows', 'Furniture', 'Appliances (e.g. fridge, microwave, washing machine)', 'Electronic equipment (e.g. TVs, computers, speakers)', 'Empty / Bare walls']","How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?","['Crowded', 'Moderately busy', 'Quiet / Empty']"
stove_12,South Korea,../image-gen/flux1dev-gcs/stove_12/103_a stove in South Korea/38.png,../image-gen/seedimgs/10.png,flux1dev-gcs,What type of environment is visible?,"['Residential', 'Commercial / Public', 'Solid / Empty Background']","What natural features, if any, are visible in the background of the image?","['trees / forest', 'mountains / hills', 'waterbody', 'open ground / fields']"
stove_12,Spain,../image-gen/flux1dev-gcs/stove_12/97_a stove in Spain/103.png,../image-gen/seedimgs/11.png,flux1dev-gcs,What type of floor or ground is visible?,"['Tiled Floor', 'Wooden Floor', 'Carpeted Floor', 'Concrete Floor']",What type of road or terrain is visible?,"['Paved road', 'Dirt / gravel road (man-made)', 'Natural ground / grass (wild, non-constructed)', 'Tiled / courtyard-style surface']"
stove_12,Italy,../image-gen/flux1dev-gcs/stove_12/98_a stove in Italy/154.png,../image-gen/seedimgs/12.png,flux1dev-gcs,How visually organized does the indoor space appear?,"['Organized', 'Cluttered', 'Minimal']","Does the imagery suggest a rural, or urban setting?","['Urban', 'Rural']"
stove_12,Egypt,../image-gen/SD21-16/stove_12/99_a stove in Egypt/119.png,../image-gen/seedimgs/13.png,SD21-16,What main elements are visible in the background?,"['Walls and windows', 'Furniture', 'Appliances (e.g. fridge, microwave, washing machine)', 'Electronic equipment (e.g. TVs, computers, speakers)', 'Empty / Bare walls']","How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?","['Crowded', 'Moderately busy', 'Quiet / Empty']"
stove_12,Philippines,../image-gen/SD21-16/stove_12/100_a stove in Philippines/234.png,../image-gen/seedimgs/14.png,SD21-16,What type of environment is visible?,"['Residential', 'Commercial / Public', 'Solid / Empty Background']","What natural features, if any, are visible in the background of the image?","['trees / forest', 'mountains / hills', 'waterbody', 'open ground / fields']"
stove_12,Turkey,../regionised_subgeode_lim5/stove_12/23/38.png,../image-gen/seedimgs/15.png,geode,What type of floor or ground is visible?,"['Tiled Floor', 'Wooden Floor', 'Carpeted Floor', 'Concrete Floor']",What type of road or terrain is visible?,"['Paved road', 'Dirt / gravel road (man-made)', 'Natural ground / grass (wild, non-constructed)', 'Tiled / courtyard-style surface']"
house_23,United Kingdom,../image-gen/flux1dev-gcs/house_23/35_a house in United Kingdom/109.png,../image-gen/seedimgs/16.png,flux1dev-gcs,How visually organized does the indoor space appear?,"['Organized', 'Cluttered', 'Minimal']","Does the imagery suggest a rural, or urban setting?","['Urban', 'Rural']"
house_23,Nigeria,../regionised_subgeode_lim5/house_23/36/1350.png,../image-gen/seedimgs/17.png,geode,What main elements are visible in the background?,"['Walls and windows', 'Furniture', 'Appliances (e.g. fridge, microwave, washing machine)', 'Electronic equipment (e.g. TVs, computers, speakers)', 'Empty / Bare walls']","How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?","['Crowded', 'Moderately busy', 'Quiet / Empty']"
house_23,Indonesia,../image-gen/SD21-16/house_23/38_a house in Indonesia/9.png,../image-gen/seedimgs/18.png,SD21-16,What type of environment is visible?,"['Residential', 'Commercial / Public', 'Solid / Empty Background']","What natural features, if any, are visible in the background of the image?","['trees / forest', 'mountains / hills', 'waterbody', 'open ground / fields']"
house_23,Colombia,../image-gen/SD35-gcs/house_23/39_a house in Colombia/61.png,../image-gen/seedimgs/19.png,SD35-gcs,What type of floor or ground is visible?,"['Tiled Floor', 'Wooden Floor', 'Carpeted Floor', 'Concrete Floor']",What type of road or terrain is visible?,"['Paved road', 'Dirt / gravel road (man-made)', 'Natural ground / grass (wild, non-constructed)', 'Tiled / courtyard-style surface']"
house_23,Japan,../image-gen/SD21-16/house_23/40_a house in Japan/223.png,../image-gen/seedimgs/20.png,SD21-16,How visually organized does the indoor space appear?,"['Organized', 'Cluttered', 'Minimal']","Does the imagery suggest a rural, or urban setting?","['Urban', 'Rural']"
house_23,India,../image-gen/SD21-16/house_23/41_a house in India/22.png,../image-gen/seedimgs/21.png,SD21-16,What main elements are visible in the background?,"['Walls and windows', 'Furniture', 'Appliances (e.g. fridge, microwave, washing machine)', 'Electronic equipment (e.g. TVs, computers, speakers)', 'Empty / Bare walls']","How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?","['Crowded', 'Moderately busy', 'Quiet / Empty']"
house_23,China,../image-gen/SD3m-gcs/house_23/122_a house in China/83.png,../image-gen/seedimgs/22.png,SD3m-gcs,What type of environment is visible?,"['Residential', 'Commercial / Public', 'Solid / Empty Background']","What natural features, if any, are visible in the background of the image?","['trees / forest', 'mountains / hills', 'waterbody', 'open ground / fields']"
house_23,United States of America,../image-gen/SD21-16/house_23/123_a house in United States of America/217.png,../image-gen/seedimgs/23.png,SD21-16,What type of floor or ground is visible?,"['Tiled Floor', 'Wooden Floor', 'Carpeted Floor', 'Concrete Floor']",What type of road or terrain is visible?,"['Paved road', 'Dirt / gravel road (man-made)', 'Natural ground / grass (wild, non-constructed)', 'Tiled / courtyard-style surface']"
house_23,Mexico,../image-gen/flux1dev-gcs/house_23/119_a house in Mexico/71.png,../image-gen/seedimgs/24.png,flux1dev-gcs,How visually organized does the indoor space appear?,"['Organized', 'Cluttered', 'Minimal']","Does the imagery suggest a rural, or urban setting?","['Urban', 'Rural']"
house_23,United Arab Emirates,../image-gen/SD35-gcs/house_23/120_a house in United Arab Emirates/233.png,../image-gen/seedimgs/25.png,SD35-gcs,What main elements are visible in the background?,"['Walls and windows', 'Furniture', 'Appliances (e.g. fridge, microwave, washing machine)', 'Electronic equipment (e.g. TVs, computers, speakers)', 'Empty / Bare walls']","How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?","['Crowded', 'Moderately busy', 'Quiet / Empty']"
house_23,South Korea,../image-gen/SD21-16/house_23/121_a house in South Korea/243.png,../image-gen/seedimgs/26.png,SD21-16,What type of environment is visible?,"['Residential', 'Commercial / Public', 'Solid / Empty Background']","What natural features, if any, are visible in the background of the image?","['trees / forest', 'mountains / hills', 'waterbody', 'open ground / fields']"
house_23,Spain,../image-gen/SD35-gcs/house_23/115_a house in Spain/215.png,../image-gen/seedimgs/27.png,SD35-gcs,What type of floor or ground is visible?,"['Tiled Floor', 'Wooden Floor', 'Carpeted Floor', 'Concrete Floor']",What type of road or terrain is visible?,"['Paved road', 'Dirt / gravel road (man-made)', 'Natural ground / grass (wild, non-constructed)', 'Tiled / courtyard-style surface']"
house_23,Italy,../image-gen/SD3m-gcs/house_23/116_a house in Italy/54.png,../image-gen/seedimgs/28.png,SD3m-gcs,How visually organized does the indoor space appear?,"['Organized', 'Cluttered', 'Minimal']","Does the imagery suggest a rural, or urban setting?","['Urban', 'Rural']"
house_23,Egypt,../image-gen/SD21-16/house_23/117_a house in Egypt/217.png,../image-gen/seedimgs/29.png,SD21-16,What main elements are visible in the background?,"['Walls and windows', 'Furniture', 'Appliances (e.g. fridge, microwave, washing machine)', 'Electronic equipment (e.g. TVs, computers, speakers)', 'Empty / Bare walls']","How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?","['Crowded', 'Moderately busy', 'Quiet / Empty']"
house_23,Philippines,../image-gen/SD21-16/house_23/118_a house in Philippines/188.png,../image-gen/seedimgs/30.png,SD21-16,What type of environment is visible?,"['Residential', 'Commercial / Public', 'Solid / Empty Background']","What natural features, if any, are visible in the background of the image?","['trees / forest', 'mountains / hills', 'waterbody', 'open ground / fields']"
house_23,Turkey,../image-gen/SD21-16/house_23/37_a house in Turkey/194.png,../image-gen/seedimgs/31.png,SD21-16,What type of floor or ground is visible?,"['Tiled Floor', 'Wooden Floor', 'Carpeted Floor', 'Concrete Floor']",What type of road or terrain is visible?,"['Paved road', 'Dirt / gravel road (man-made)', 'Natural ground / grass (wild, non-constructed)', 'Tiled / courtyard-style surface']"
storefront_38,United Kingdom,../image-gen/SD3m-gcs/storefront_38/63_a storefront in United Kingdom/16.png,../image-gen/seedimgs/32.png,SD3m-gcs,How visually organized does the indoor space appear?,"['Organized', 'Cluttered', 'Minimal']","Does the imagery suggest a rural, or urban setting?","['Urban', 'Rural']"
storefront_38,Nigeria,../image-gen/flux1dev-gcs/storefront_38/64_a storefront in Nigeria/22.png,../image-gen/seedimgs/33.png,flux1dev-gcs,What main elements are visible in the background?,"['Walls and windows', 'Furniture', 'Appliances (e.g. fridge, microwave, washing machine)', 'Electronic equipment (e.g. TVs, computers, speakers)', 'Empty / Bare walls']","How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?","['Crowded', 'Moderately busy', 'Quiet / Empty']"
storefront_38,Indonesia,../image-gen/flux1dev-gcs/storefront_38/66_a storefront in Indonesia/16.png,../image-gen/seedimgs/34.png,flux1dev-gcs,What type of environment is visible?,"['Residential', 'Commercial / Public', 'Solid / Empty Background']","What natural features, if any, are visible in the background of the image?","['trees / forest', 'mountains / hills', 'waterbody', 'open ground / fields']"
storefront_38,Colombia,../image-gen/SD35-gcs/storefront_38/67_a storefront in Colombia/24.png,../image-gen/seedimgs/35.png,SD35-gcs,What type of floor or ground is visible?,"['Tiled Floor', 'Wooden Floor', 'Carpeted Floor', 'Concrete Floor']",What type of road or terrain is visible?,"['Paved road', 'Dirt / gravel road (man-made)', 'Natural ground / grass (wild, non-constructed)', 'Tiled / courtyard-style surface']"
storefront_38,Japan,../image-gen/flux1dev-gcs/storefront_38/68_a storefront in Japan/198.png,../image-gen/seedimgs/36.png,flux1dev-gcs,How visually organized does the indoor space appear?,"['Organized', 'Cluttered', 'Minimal']","Does the imagery suggest a rural, or urban setting?","['Urban', 'Rural']"
storefront_38,India,../image-gen/SD21-16/storefront_38/69_a storefront in India/145.png,../image-gen/seedimgs/37.png,SD21-16,What main elements are visible in the background?,"['Walls and windows', 'Furniture', 'Appliances (e.g. fridge, microwave, washing machine)', 'Electronic equipment (e.g. TVs, computers, speakers)', 'Empty / Bare walls']","How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?","['Crowded', 'Moderately busy', 'Quiet / Empty']"
storefront_38,China,../image-gen/SD3m-gcs/storefront_38/158_a storefront in China/212.png,../image-gen/seedimgs/38.png,SD3m-gcs,What type of environment is visible?,"['Residential', 'Commercial / Public', 'Solid / Empty Background']","What natural features, if any, are visible in the background of the image?","['trees / forest', 'mountains / hills', 'waterbody', 'open ground / fields']"
storefront_38,United States of America,../image-gen/SD3m-gcs/storefront_38/159_a storefront in United States of America/81.png,../image-gen/seedimgs/39.png,SD3m-gcs,What type of floor or ground is visible?,"['Tiled Floor', 'Wooden Floor', 'Carpeted Floor', 'Concrete Floor']",What type of road or terrain is visible?,"['Paved road', 'Dirt / gravel road (man-made)', 'Natural ground / grass (wild, non-constructed)', 'Tiled / courtyard-style surface']"
storefront_38,Mexico,../image-gen/SD3m-gcs/storefront_38/155_a storefront in Mexico/244.png,../image-gen/seedimgs/40.png,SD3m-gcs,How visually organized does the indoor space appear?,"['Organized', 'Cluttered', 'Minimal']","Does the imagery suggest a rural, or urban setting?","['Urban', 'Rural']"
storefront_38,United Arab Emirates,../image-gen/SD35-gcs/storefront_38/156_a storefront in United Arab Emirates/243.png,../image-gen/seedimgs/41.png,SD35-gcs,What main elements are visible in the background?,"['Walls and windows', 'Furniture', 'Appliances (e.g. fridge, microwave, washing machine)', 'Electronic equipment (e.g. TVs, computers, speakers)', 'Empty / Bare walls']","How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?","['Crowded', 'Moderately busy', 'Quiet / Empty']"
storefront_38,South Korea,../image-gen/flux1dev-gcs/storefront_38/157_a storefront in South Korea/187.png,../image-gen/seedimgs/42.png,flux1dev-gcs,What type of environment is visible?,"['Residential', 'Commercial / Public', 'Solid / Empty Background']","What natural features, if any, are visible in the background of the image?","['trees / forest', 'mountains / hills', 'waterbody', 'open ground / fields']"
storefront_38,Spain,../image-gen/SD35-gcs/storefront_38/151_a storefront in Spain/194.png,../image-gen/seedimgs/43.png,SD35-gcs,What type of floor or ground is visible?,"['Tiled Floor', 'Wooden Floor', 'Carpeted Floor', 'Concrete Floor']",What type of road or terrain is visible?,"['Paved road', 'Dirt / gravel road (man-made)', 'Natural ground / grass (wild, non-constructed)', 'Tiled / courtyard-style surface']"
storefront_38,Italy,../image-gen/SD21-16/storefront_38/152_a storefront in Italy/21.png,../image-gen/seedimgs/44.png,SD21-16,How visually organized does the indoor space appear?,"['Organized', 'Cluttered', 'Minimal']","Does the imagery suggest a rural, or urban setting?","['Urban', 'Rural']"
storefront_38,Egypt,../image-gen/SD35-gcs/storefront_38/153_a storefront in Egypt/202.png,../image-gen/seedimgs/45.png,SD35-gcs,What main elements are visible in the background?,"['Walls and windows', 'Furniture', 'Appliances (e.g. fridge, microwave, washing machine)', 'Electronic equipment (e.g. TVs, computers, speakers)', 'Empty / Bare walls']","How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?","['Crowded', 'Moderately busy', 'Quiet / Empty']"
storefront_38,Philippines,../image-gen/flux1dev-gcs/storefront_38/154_a storefront in Philippines/221.png,../image-gen/seedimgs/46.png,flux1dev-gcs,What type of environment is visible?,"['Residential', 'Commercial / Public', 'Solid / Empty Background']","What natural features, if any, are visible in the background of the image?","['trees / forest', 'mountains / hills', 'waterbody', 'open ground / fields']"
storefront_38,Turkey,../regionised_subgeode_lim5/storefront_38/65/991.png,../image-gen/seedimgs/47.png,geode,What type of floor or ground is visible?,"['Tiled Floor', 'Wooden Floor', 'Carpeted Floor', 'Concrete Floor']",What type of road or terrain is visible?,"['Paved road', 'Dirt / gravel road (man-made)', 'Natural ground / grass (wild, non-constructed)', 'Tiled / courtyard-style surface']"
bag_0,United Kingdom,../image-gen/SD3m-gcs/bag_0/0_a bag in United Kingdom/70.png,../image-gen/seedimgs/48.png,SD3m-gcs,How visually organized does the indoor space appear?,"['Organized', 'Cluttered', 'Minimal']","Does the imagery suggest a rural, or urban setting?","['Urban', 'Rural']"
bag_0,Nigeria,../image-gen/SD3m-gcs/bag_0/1_a bag in Nigeria/46.png,../image-gen/seedimgs/49.png,SD3m-gcs,What main elements are visible in the background?,"['Walls and windows', 'Furniture', 'Appliances (e.g. fridge, microwave, washing machine)', 'Electronic equipment (e.g. TVs, computers, speakers)', 'Empty / Bare walls']","How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?","['Crowded', 'Moderately busy', 'Quiet / Empty']"
bag_0,Indonesia,../regionised_subgeode_lim5/bag_0/3/1632.png,../image-gen/seedimgs/50.png,geode,What type of environment is visible?,"['Residential', 'Commercial / Public', 'Solid / Empty Background']","What natural features, if any, are visible in the background of the image?","['trees / forest', 'mountains / hills', 'waterbody', 'open ground / fields']"
bag_0,Colombia,../image-gen/SD21-16/bag_0/4_a bag in Colombia/168.png,../image-gen/seedimgs/51.png,SD21-16,What type of floor or ground is visible?,"['Tiled Floor', 'Wooden Floor', 'Carpeted Floor', 'Concrete Floor']",What type of road or terrain is visible?,"['Paved road', 'Dirt / gravel road (man-made)', 'Natural ground / grass (wild, non-constructed)', 'Tiled / courtyard-style surface']"
bag_0,Japan,../image-gen/flux1dev-gcs/bag_0/5_a bag in Japan/175.png,../image-gen/seedimgs/52.png,flux1dev-gcs,How visually organized does the indoor space appear?,"['Organized', 'Cluttered', 'Minimal']","Does the imagery suggest a rural, or urban setting?","['Urban', 'Rural']"
