concept,country,org_path,img_path,dataset,question,attribute_values
stove_12,United Kingdom,flux1dev-gcs/stove_12/21_a stove in United Kingdom/15.png,seedimgs/0.png,flux1dev-gcs,Are there multiple burners or heating zones visible on the cooktop?,"['yes', 'no']"
stove_12,Nigeria,flux1dev-gcs/stove_12/22_a stove in Nigeria/213.png,seedimgs/1.png,flux1dev-gcs,Does the stove have a backguard or splash guard?,"['yes', 'no']"
stove_12,Indonesia,SD3m-gcs/stove_12/24_a stove in Indonesia/49.png,seedimgs/2.png,SD3m-gcs,Does the stove's oven door have a glass window?,"['yes', 'no']"
stove_12,Colombia,SD3m-gcs/stove_12/25_a stove in Colombia/167.png,seedimgs/3.png,SD3m-gcs,Is the stove freestanding or built into the surrounding counter?,"['built-in', 'freestanding']"
stove_12,Japan,SD21-16/stove_12/26_a stove in Japan/165.png,seedimgs/4.png,SD21-16,Is there a digital clock or timer display on the stove?,"['yes', 'no']"
stove_12,India,flux1dev-gcs/stove_12/27_a stove in India/175.png,seedimgs/5.png,flux1dev-gcs,Is there a range hood or vent above the stove?,"['yes', 'no']"
stove_12,China,SD35-gcs/stove_12/104_a stove in China/110.png,seedimgs/6.png,SD35-gcs,Is there an oven integrated below the cooktop?,"['yes', 'no']"
stove_12,United States of America,flux1dev-gcs/stove_12/105_a stove in United States of America/3.png,seedimgs/7.png,flux1dev-gcs,"Is there any cookware, such as a pot or pan, on the stove?","['yes', 'no']"
stove_12,Mexico,flux1dev-gcs/stove_12/101_a stove in Mexico/241.png,seedimgs/8.png,flux1dev-gcs,What is the primary color of the stove?,"['red', 'blue', 'cream', 'gray', 'silver', 'green', 'white', 'black']"
stove_12,United Arab Emirates,SD35-gcs/stove_12/102_a stove in United Arab Emirates/126.png,seedimgs/9.png,SD35-gcs,What is the primary material of the stove's body: stainless steel or enamel/painted metal?,"['stainless steel', 'enamel/painted metal']"
stove_12,South Korea,flux1dev-gcs/stove_12/103_a stove in South Korea/38.png,seedimgs/10.png,flux1dev-gcs,"What kind of controls are visible on the stove: knobs, buttons, or a touchscreen display?","['touchscreen display', 'buttons', 'knobs']"
stove_12,Spain,flux1dev-gcs/stove_12/97_a stove in Spain/103.png,seedimgs/11.png,flux1dev-gcs,"What type of cooktop does the stove have: gas burners, electric coils, or a flat glass/ceramic top?","['gas burners', 'electric coils', 'flat glass/ceramic top']"
stove_12,Italy,flux1dev-gcs/stove_12/98_a stove in Italy/154.png,seedimgs/12.png,flux1dev-gcs,What is the primary material of the stove's body: stainless steel or enamel/painted metal?,"['stainless steel', 'enamel/painted metal']"
stove_12,Egypt,SD21-16/stove_12/99_a stove in Egypt/119.png,seedimgs/13.png,SD21-16,What is the primary color of the stove?,"['red', 'blue', 'cream', 'gray', 'silver', 'green', 'white', 'black']"
stove_12,Philippines,SD21-16/stove_12/100_a stove in Philippines/234.png,seedimgs/14.png,SD21-16,What is the primary material of the stove's body: stainless steel or enamel/painted metal?,"['stainless steel', 'enamel/painted metal']"
stove_12,Turkey,../regionised_subgeode_lim5/stove_12/23/38.png,seedimgs/15.png,geode,"Is there any cookware, such as a pot or pan, on the stove?","['yes', 'no']"
house_23,United Kingdom,flux1dev-gcs/house_23/35_a house in United Kingdom/109.png,seedimgs/16.png,flux1dev-gcs,Are there any trees visible near the house?,"['yes', 'no']"
house_23,Nigeria,../regionised_subgeode_lim5/house_23/36/1350.png,seedimgs/17.png,geode,Do the windows on the house have shutters?,"['yes', 'no']"
house_23,Indonesia,SD21-16/house_23/38_a house in Indonesia/9.png,seedimgs/18.png,SD21-16,Does the house have a porch or a balcony?,"['yes', 'no']"
house_23,Colombia,SD35-gcs/house_23/39_a house in Colombia/61.png,seedimgs/19.png,SD35-gcs,Is a door on the house open or closed?,"['closed', 'open']"
house_23,Japan,SD21-16/house_23/40_a house in Japan/223.png,seedimgs/20.png,SD21-16,Is the house single-storey or multi-storey?,"['multi-storey', 'single-storey']"
house_23,India,SD21-16/house_23/41_a house in India/22.png,seedimgs/21.png,SD21-16,Is the roof of the house flat or sloped?,"['flat', 'sloped']"
house_23,China,SD3m-gcs/house_23/122_a house in China/83.png,seedimgs/22.png,SD3m-gcs,Is there a chimney on the house?,"['yes', 'no']"
house_23,United States of America,SD21-16/house_23/123_a house in United States of America/217.png,seedimgs/23.png,SD21-16,Is there a fence on the property?,"['yes', 'no']"
house_23,Mexico,flux1dev-gcs/house_23/119_a house in Mexico/71.png,seedimgs/24.png,flux1dev-gcs,Is there a garage attached to the house?,"['yes', 'no']"
house_23,United Arab Emirates,SD35-gcs/house_23/120_a house in United Arab Emirates/233.png,seedimgs/25.png,SD35-gcs,What is the main color of the house's exterior?,"['white', 'yellow', 'brown', 'beige', 'gray']"
house_23,South Korea,SD21-16/house_23/121_a house in South Korea/243.png,seedimgs/26.png,SD21-16,What is the primary exterior material of the house?,"['concrete', 'stone', 'metal', 'wood', 'glass', 'brick']"
house_23,Spain,SD35-gcs/house_23/115_a house in Spain/215.png,seedimgs/27.png,SD35-gcs,"What is the primary ground cover around the house: grass, paving (concrete/tiles/stone), or dirt/gravel?","['grass', 'paving', 'dirt/gravel']"
house_23,Italy,SD3m-gcs/house_23/116_a house in Italy/54.png,seedimgs/28.png,SD3m-gcs,What is the main color of the house's exterior?,"['white', 'yellow', 'brown', 'beige', 'gray']"
house_23,Egypt,SD21-16/house_23/117_a house in Egypt/217.png,seedimgs/29.png,SD21-16,Is there a chimney on the house?,"['yes', 'no']"
house_23,Philippines,SD21-16/house_23/118_a house in Philippines/188.png,seedimgs/30.png,SD21-16,Is there a chimney on the house?,"['yes', 'no']"
house_23,Turkey,SD21-16/house_23/37_a house in Turkey/194.png,seedimgs/31.png,SD21-16,"What is the primary ground cover around the house: grass, paving (concrete/tiles/stone), or dirt/gravel?","['grass', 'paving', 'dirt/gravel']"
storefront_38,United Kingdom,SD3m-gcs/storefront_38/63_a storefront in United Kingdom/16.png,seedimgs/32.png,SD3m-gcs,"Are there any items placed outside the storefront, such as displays, furniture, or plants?","['yes', 'no']"
storefront_38,Nigeria,flux1dev-gcs/storefront_38/64_a storefront in Nigeria/22.png,seedimgs/33.png,flux1dev-gcs,Are there any lights on inside or on the exterior of the storefront?,"['yes', 'no']"
storefront_38,Indonesia,flux1dev-gcs/storefront_38/66_a storefront in Indonesia/16.png,seedimgs/34.png,flux1dev-gcs,Are there any signs or logos visible on the storefront?,"['yes', 'no']"
storefront_38,Colombia,SD35-gcs/storefront_38/67_a storefront in Colombia/24.png,seedimgs/35.png,SD35-gcs,Are there products or displays visible in the storefront window?,"['yes', 'no']"
storefront_38,Japan,flux1dev-gcs/storefront_38/68_a storefront in Japan/198.png,seedimgs/36.png,flux1dev-gcs,Does the storefront have an awning or a canopy?,"['yes', 'no']"
storefront_38,India,SD21-16/storefront_38/69_a storefront in India/145.png,seedimgs/37.png,SD21-16,"Is the facade primarily made of brick, wood, or glass?","['glass', 'wood', 'brick']"
storefront_38,China,SD3m-gcs/storefront_38/158_a storefront in China/212.png,seedimgs/38.png,SD3m-gcs,Is the main entrance door to the storefront open or closed?,"['closed', 'partially open', 'open']"
storefront_38,United States of America,SD3m-gcs/storefront_38/159_a storefront in United States of America/81.png,seedimgs/39.png,SD3m-gcs,"Is the storefront entrance a single door, double doors, or a revolving door?","['single door', 'double doors', 'revolving door']"
storefront_38,Mexico,SD3m-gcs/storefront_38/155_a storefront in Mexico/244.png,seedimgs/40.png,SD3m-gcs,Is the storefront surrounded by other businesses or is it standalone?,"['surrounded by other businesses', 'standalone']"
storefront_38,United Arab Emirates,SD35-gcs/storefront_38/156_a storefront in United Arab Emirates/243.png,seedimgs/41.png,SD35-gcs,Is there a sidewalk in front of the storefront?,"['yes', 'no']"
storefront_38,South Korea,flux1dev-gcs/storefront_38/157_a storefront in South Korea/187.png,seedimgs/42.png,flux1dev-gcs,Is there an 'Open' or 'Closed' sign on the storefront?,"['yes', 'no']"
storefront_38,Spain,SD35-gcs/storefront_38/151_a storefront in Spain/194.png,seedimgs/43.png,SD35-gcs,What is the primary color of the storefront's facade?,"['blue', 'red', 'pink', 'purple', 'gray', 'green', 'yellow', 'orange', 'brown', 'white', 'beige']"
storefront_38,Italy,SD21-16/storefront_38/152_a storefront in Italy/21.png,seedimgs/44.png,SD21-16,Are there any signs or logos visible on the storefront?,"['yes', 'no']"
storefront_38,Egypt,SD35-gcs/storefront_38/153_a storefront in Egypt/202.png,seedimgs/45.png,SD35-gcs,Are there products or displays visible in the storefront window?,"['yes', 'no']"
storefront_38,Philippines,flux1dev-gcs/storefront_38/154_a storefront in Philippines/221.png,seedimgs/46.png,flux1dev-gcs,"Is the facade primarily made of brick, wood, or glass?","['glass', 'wood', 'brick']"
storefront_38,Turkey,../regionised_subgeode_lim5/storefront_38/65/991.png,seedimgs/47.png,geode,"Is the storefront entrance a single door, double doors, or a revolving door?","['single door', 'double doors', 'revolving door']"
bag_0,United Kingdom,SD3m-gcs/bag_0/0_a bag in United Kingdom/70.png,seedimgs/48.png,SD3m-gcs,"Does the bag have a zipper, buckle, or flap closure?","['zipper', 'buckle', 'flap']"
bag_0,Nigeria,SD3m-gcs/bag_0/1_a bag in Nigeria/46.png,seedimgs/49.png,SD3m-gcs,Does the bag have any visible pockets or compartments?,"['yes', 'no']"
bag_0,Indonesia,../regionised_subgeode_lim5/bag_0/3/1632.png,seedimgs/50.png,geode,"Does the bag have handles, a shoulder strap, or both?","['handles', 'both', 'shoulder strap']"
bag_0,Colombia,SD21-16/bag_0/4_a bag in Colombia/168.png,seedimgs/51.png,SD21-16,Is a brand logo or label visible on the bag?,"['yes', 'no']"
bag_0,Japan,flux1dev-gcs/bag_0/5_a bag in Japan/175.png,seedimgs/52.png,flux1dev-gcs,"Is the bag a backpack, handbag, or tote bag?","['backpack', 'tote bag', 'handbag']"
bag_0,India,flux1dev-gcs/bag_0/6_a bag in India/18.png,seedimgs/53.png,flux1dev-gcs,"Is the bag being carried by a person, placed on a surface, or hanging?","['carried by a person', 'placed on a surface', 'hanging']"
bag_0,China,SD21-16/bag_0/77_a bag in China/189.png,seedimgs/54.png,SD21-16,"Is the bag made of fabric, leather, or plastic?","['plastic', 'fabric', 'leather']"
bag_0,United States of America,SD35-gcs/bag_0/78_a bag in United States of America/244.png,seedimgs/55.png,SD35-gcs,Is the bag open or closed?,"['closed', 'open']"
bag_0,Mexico,SD3m-gcs/bag_0/74_a bag in Mexico/111.png,seedimgs/56.png,SD3m-gcs,"Is the bag's shape primarily rectangular, circular, or unstructured?","['circular', 'unstructured', 'rectangular']"
bag_0,United Arab Emirates,flux1dev-gcs/bag_0/75_a bag in United Arab Emirates/231.png,seedimgs/57.png,flux1dev-gcs,Is the bag's surface a solid color or patterned?,"['solid color', 'patterned']"
bag_0,South Korea,SD21-16/bag_0/76_a bag in South Korea/234.png,seedimgs/58.png,SD21-16,What is the main color of the bag?,"['white', 'black', 'purple', 'blue', 'green', 'orange', 'red', 'yellow', 'brown', 'pink', 'gray']"
bag_0,Spain,flux1dev-gcs/bag_0/70_a bag in Spain/11.png,seedimgs/59.png,flux1dev-gcs,"Is the bag being carried by a person, placed on a surface, or hanging?","['carried by a person', 'placed on a surface', 'hanging']"
bag_0,Italy,SD35-gcs/bag_0/71_a bag in Italy/24.png,seedimgs/60.png,SD35-gcs,Is the bag open or closed?,"['closed', 'open']"
bag_0,Egypt,SD3m-gcs/bag_0/72_a bag in Egypt/238.png,seedimgs/61.png,SD3m-gcs,Is the bag open or closed?,"['closed', 'open']"
bag_0,Philippines,SD35-gcs/bag_0/73_a bag in Philippines/241.png,seedimgs/62.png,SD35-gcs,"Is the bag's shape primarily rectangular, circular, or unstructured?","['circular', 'unstructured', 'rectangular']"
bag_0,Turkey,SD3m-gcs/bag_0/2_a bag in Turkey/232.png,seedimgs/63.png,SD3m-gcs,Is the bag open or closed?,"['closed', 'open']"
backyard_24,United Kingdom,SD21-16/backyard_24/42_a backyard in United Kingdom/219.png,seedimgs/64.png,SD21-16,Are there any animals or pets in the backyard?,"['yes', 'no']"
backyard_24,Nigeria,SD3m-gcs/backyard_24/43_a backyard in Nigeria/201.png,seedimgs/65.png,SD3m-gcs,Are there any pathways or walkways in the backyard?,"['yes', 'no']"
backyard_24,Indonesia,SD3m-gcs/backyard_24/45_a backyard in Indonesia/26.png,seedimgs/66.png,SD3m-gcs,"Are there any plants, trees, or shrubs in the backyard?","['yes', 'no']"
backyard_24,Colombia,SD21-16/backyard_24/46_a backyard in Colombia/64.png,seedimgs/67.png,SD21-16,Are there any structures in the backyard?,"['yes', 'no']"
backyard_24,Japan,SD3m-gcs/backyard_24/47_a backyard in Japan/18.png,seedimgs/68.png,SD3m-gcs,Are there any visible recreational items in the backyard?,"['yes', 'no']"
backyard_24,India,SD3m-gcs/backyard_24/48_a backyard in India/222.png,seedimgs/69.png,SD3m-gcs,Is a body of water visible in the backyard?,"['yes', 'no']"
backyard_24,China,SD35-gcs/backyard_24/131_a backyard in China/22.png,seedimgs/70.png,SD35-gcs,Is the backyard enclosed by a fence or wall?,"['yes', 'no']"
backyard_24,United States of America,SD3m-gcs/backyard_24/132_a backyard in United States of America/19.png,seedimgs/71.png,SD3m-gcs,Is there a garden or vegetable patch in the backyard?,"['yes', 'no']"
backyard_24,Mexico,flux1dev-gcs/backyard_24/128_a backyard in Mexico/108.png,seedimgs/72.png,flux1dev-gcs,Is there a patio or deck attached to the house in the backyard?,"['yes', 'no']"
backyard_24,United Arab Emirates,SD3m-gcs/backyard_24/129_a backyard in United Arab Emirates/197.png,seedimgs/73.png,SD3m-gcs,Is there a visible grill or outdoor kitchen area in the backyard?,"['yes', 'no']"
backyard_24,South Korea,SD3m-gcs/backyard_24/130_a backyard in South Korea/53.png,seedimgs/74.png,SD3m-gcs,Is there any outdoor furniture in the backyard?,"['yes', 'no']"
backyard_24,Spain,SD21-16/backyard_24/124_a backyard in Spain/70.png,seedimgs/75.png,SD21-16,"What is the primary ground cover in the backyard: grass, paving (concrete/tiles/stone), or dirt/gravel?","['grass', 'paving', 'dirt/gravel']"
backyard_24,Italy,SD3m-gcs/backyard_24/125_a backyard in Italy/167.png,seedimgs/76.png,SD3m-gcs,Is a body of water visible in the backyard?,"['yes', 'no']"
backyard_24,Egypt,flux1dev-gcs/backyard_24/126_a backyard in Egypt/40.png,seedimgs/77.png,flux1dev-gcs,Is there a visible grill or outdoor kitchen area in the backyard?,"['yes', 'no']"
